Date,Open,High,Low,Close,Adj Close,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,Ticker,sentiment_score
2020-02-17,612.5,616.5,607.2249755859375,608.5750122070312,564.5932006835938,10152690,44.03266687969042,-5.789802613758411,1.0613235496361488,-6.85112616339456,602.2250995247019,616.4062530517579,630.5874065788138,4.601236102601696,0.2238856193967032,HDFCBANK.NS,0.0
2020-02-18,608.4500122070312,609.25,601.75,606.625,562.7841796875,10529116,42.78787272515741,-6.165394380970042,0.5485854259396143,-6.713979806909657,601.0789929284632,615.6287536621094,630.1785143957555,4.726797001308314,0.1905875695506012,HDFCBANK.NS,0.0
2020-02-19,611.25,615.0,606.9500122070312,613.5999755859375,569.2550048828125,10012268,48.40623590504906,-5.832992221577115,0.7047900682660337,-6.537782289843149,600.8920590228978,615.2875030517578,629.6829470806177,4.679257731535311,0.4413867518627034,HDFCBANK.NS,0.0
2020-02-20,615.0,615.0,607.0499877929688,608.5499877929688,564.5699462890625,11123414,44.96342317045195,-5.908938362556455,0.5030751418293553,-6.41201350438581,600.3097061246541,614.5937530517579,628.8777999788616,4.6482890059251325,0.2884435241065626,HDFCBANK.NS,0.0
2020-02-24,604.4749755859375,607.375,600.0,604.9749755859375,561.2533569335938,16568084,42.65076827426896,-6.1862881549096755,0.1805802795809086,-6.366868434490584,599.3086195820587,613.7287506103517,628.1488816386446,4.699187063976456,0.1964738043212357,HDFCBANK.NS,0.0
2020-02-25,602.0,604.5,599.0,600.1500244140625,556.7771606445312,13886680,39.6841057977924,-6.717982380237231,-0.2808911565973169,-6.437091223639914,598.0563130353723,613.4062530517579,628.7561930681434,5.004820195431011,0.0681993342141792,HDFCBANK.NS,0.0
2020-02-26,598.75,602.3499755859375,592.8250122070312,599.625,556.2901000976562,13814786,39.363254692446155,-7.099876015672862,-0.5302278336263582,-6.569648182046504,596.272447903863,612.807504272461,629.3425606410589,5.396492782257522,0.1013770990978855,HDFCBANK.NS,0.0
2020-02-27,597.5,601.25,590.5,599.7249755859375,556.3828125,20655098,39.46362436317363,-7.310194902498665,-0.5924373763617288,-6.717757526136936,594.5642965891035,611.8975036621094,629.2307107351154,5.665395583171841,0.1488668246764052,HDFCBANK.NS,0.0
2020-02-28,587.75,592.5,585.0499877929688,588.8250122070312,546.2705078125,24313056,33.04195282732952,-8.261180340893134,-1.2347382518049574,-7.026442089088176,590.5360927593209,610.6875030517579,630.8389133441948,6.5995816818701245,-0.0424556030436207,HDFCBANK.NS,0.0
2020-03-02,600.0999755859375,600.5750122070312,583.0750122070312,589.7999877929688,547.175048828125,14664898,34.07531501946407,-8.83433406678671,-1.446313582158826,-7.388020484627884,587.3634295621248,609.5200012207031,631.6765728792814,7.270170499476535,0.054985001027914,HDFCBANK.NS,0.0
2020-03-03,587.5,592.6749877929688,584.0,590.9000244140625,548.1956176757812,22369550,35.288780589617325,-9.09495775044195,-1.3655498126512526,-7.729407937790697,586.2809690868311,609.2450012207032,632.2090333545754,7.538521313383171,0.1005715220285351,HDFCBANK.NS,0.0
2020-03-04,589.1749877929688,590.0,566.5499877929688,574.4249877929688,532.9111328125,34288870,27.21048691583484,-10.509751788601534,-2.2242750806486686,-8.285476707952865,579.6782121203612,607.2212493896484,634.7642866589356,9.071829188116268,-0.095363925845067,HDFCBANK.NS,0.0
2020-03-05,576.5,582.5,571.375,575.6749877929688,534.0709228515625,19549708,28.54699560867144,-11.39872430523826,-2.4905980778283165,-8.908126227409944,574.9355512912439,604.8887481689453,634.8419450466467,9.903704431061929,0.0123431983695092,HDFCBANK.NS,0.0
2020-03-06,562.5,570.4500122070312,550.5,567.4500122070312,526.4403076171875,23053566,25.260358387154053,-12.621436160681014,-2.9706479466168556,-9.65078821406416,568.8614201039125,602.2662475585938,635.6710750132752,11.09304318151465,-0.0211258073222498,HDFCBANK.NS,0.0
2020-03-09,555.0,559.2000122070312,532.5,553.6500244140625,513.6376342773438,34420590,20.910421827207426,-14.536420986342478,-3.908506217822655,-10.627914768519824,560.28152148202,598.8937500000001,637.5059785179801,12.894517105239466,-0.0858730164314334,HDFCBANK.NS,0.0
